000.001;
000.001;012.080;
000.002;012.078;
000.002;012.078;
000.002;012.078;
000.002;012.078;
000.002;012.078;
000.000;012.078;
-000.000;012.080;
-000.001;012.080;
-000.003;012.082;
-000.004;012.084;
-000.004;012.086;
-000.004;012.086;
-000.004;012.086;
-000.004;012.086;
-000.003;012.086;
-000.003;012.084;
-000.003;012.084;
-000.002;012.084;
-000.002;012.084;
-000.002;012.084;
-000.002;012.084;
-000.003;012.084;
-000.005;012.084;
-000.006;012.088;
-000.007;012.088;
-000.008;012.090;
-000.009;012.092;
-000.011;012.094;
-000.012;012.096;
-000.013;012.098;
-000.013;012.100;
-000.012;012.098;
-000.012;012.098;
-000.011;012.098;
-000.011;012.098;
-000.010;012.096;
-000.010;012.096;
-000.010;012.096;
-000.010;012.096;
-000.010;012.096;
-000.011;012.096;
-000.012;012.098;
-000.013;012.100;
-000.015;012.102;
-000.015;012.104;
-000.015;012.104;
-000.015;012.104;
-000.015;012.104;
-000.014;012.104;
-000.014;012.104;
-000.013;012.104;
-000.013;012.102;
-000.012;012.102;
-000.012;012.102;
-000.012;012.100;
-000.012;012.100;
-000.013;012.102;
-000.014;012.102;
-000.014;012.104;
-000.015;012.104;
-000.016;012.106;
-000.016;012.108;
-000.016;012.108;
-000.015;012.108;
-000.014;012.106;
-000.013;012.104;
-000.012;012.104;
-000.012;012.102;
-000.011;012.102;
-000.011;012.102;
-000.010;012.100;
-000.010;012.100;
-000.011;012.100;
-000.012;012.102;
-000.013;012.104;
-000.013;012.104;
-000.013;012.104;
-000.013;012.104;
-000.012;012.104;
-000.011;012.104;
-000.011;012.102;
-000.010;012.102;
-000.010;012.102;
-000.009;012.100;
-000.009;012.100;
-000.009;012.100;
-000.010;012.100;
-000.011;012.102;
-000.012;012.102;
-000.013;012.104;
-000.014;012.106;
-000.015;012.108;
-000.015;012.110;
-000.015;012.110;
-000.014;012.108;
-000.013;012.108;
-000.012;012.108;
-000.012;012.106;
-000.011;012.104;
-000.010;012.104;
-000.010;012.104;
-000.010;012.102;
-000.010;012.102;
-000.011;012.104;
-000.013;012.106;
-000.014;012.108;
-000.014;012.108;
-000.013;012.108;
-000.013;012.108;
-000.012;012.108;
-000.011;012.106;
-000.010;012.104;
-000.009;012.104;
-000.008;012.102;
-000.007;012.100;
-000.006;012.100;
-000.004;012.098;
-000.004;012.096;
-000.004;012.096;
-000.005;012.096;
-000.006;012.096;
-000.006;012.098;
-000.005;012.098;
-000.004;012.096;
-000.003;012.096;
-000.001;012.094;
-000.000;012.092;
000.000;012.090;
000.001;012.090;
000.001;012.088;
000.002;012.086;
000.003;012.086;
000.004;012.084;
000.004;012.082;
000.003;012.084;
000.003;012.084;
000.002;012.084;
000.001;012.086;
000.001;012.086;
000.001;012.086;
000.002;012.086;
000.003;012.086;
000.004;012.084;
000.005;012.082;
000.006;012.082;
000.007;012.080;
000.008;012.080;
000.009;012.078;
000.010;012.078;
000.011;012.076;
000.012;012.074;
000.013;012.072;
000.014;012.072;
000.015;012.070;
000.017;012.068;
000.017;012.066;
000.018;012.064;
000.018;012.064;
000.018;012.064;
000.019;012.062;
000.020;012.060;
000.021;012.060;
000.022;012.058;
000.022;012.056;
000.023;012.056;
000.024;012.054;
000.024;012.054;
000.025;012.052;
000.025;012.050;
000.026;012.050;
000.027;012.048;
000.027;012.048;
000.028;012.046;
000.028;012.046;
000.029;012.044;
000.030;012.044;
000.030;012.040;
000.030;012.040;
000.029;012.042;
000.029;012.042;
000.028;012.042;
000.027;012.044;
000.028;012.044;
000.028;012.042;
000.028;012.042;
000.028;012.042;
000.029;012.042;
000.029;012.040;
000.029;012.040;
000.029;012.040;
000.030;012.038;
000.030;012.038;
000.030;012.038;
000.030;012.036;
000.031;012.036;
000.031;012.036;
000.031;012.036;
000.031;012.034;
000.031;012.034;
000.031;012.034;
000.032;012.034;
000.032;012.032;
000.033;012.032;
000.032;012.030;
000.031;012.030;
000.030;012.032;
000.029;012.034;
000.029;012.034;
000.028;012.036;
000.028;012.036;
000.028;012.034;
000.028;012.034;
000.028;012.034;
000.028;012.036;
000.027;012.036;
000.027;012.036;
000.027;012.036;
000.026;012.036;
000.026;012.036;
000.026;012.036;
000.026;012.036;
000.025;012.036;
000.025;012.036;
000.025;012.036;
000.025;012.036;
000.025;012.036;
000.025;012.036;
000.024;012.036;
000.024;012.038;
000.023;012.038;
000.022;012.038;
000.020;012.040;
000.018;012.042;
000.016;012.046;
000.015;012.048;
000.014;012.050;
000.013;012.050;
000.012;012.052;
000.012;012.052;
000.012;012.052;
000.011;012.054;
000.011;012.054;
000.011;012.054;
000.010;012.054;
000.010;012.054;
000.010;012.056;
000.009;012.056;
000.009;012.056;
000.008;012.056;
000.008;012.058;
000.008;012.058;
000.007;012.058;
000.007;012.058;
000.008;012.058;
000.007;012.058;
000.006;012.060;
000.005;012.060;
000.004;012.062;
000.002;012.064;
000.000;012.066;
-000.000;012.068;
-000.001;012.072;
-000.002;012.072;
-000.002;012.072;
-000.002;012.074;
-000.003;012.074;
-000.003;012.074;
-000.003;012.076;
-000.004;012.076;
-000.004;012.076;
-000.004;012.076;
-000.005;012.078;
-000.006;012.078;
-000.007;012.080;
-000.009;012.080;
-000.011;012.082;
-000.012;012.084;
-000.014;012.088;
-000.015;012.090;
-000.017;012.092;
-000.019;012.094;
-000.020;012.098;
-000.020;012.098;
-000.020;012.100;
-000.020;012.100;
-000.020;012.100;
-000.020;012.100;
-000.019;012.100;
-000.019;012.100;
-000.019;012.100;
-000.019;012.100;
-000.019;012.100;
-000.019;012.100;
-000.019;012.100;
-000.021;012.100;
-000.022;012.102;
-000.023;012.104;
-000.024;012.106;
-000.025;012.108;
-000.026;012.110;
-000.026;012.112;
-000.025;012.112;
-000.025;012.110;
-000.024;012.110;
-000.023;012.110;
-000.023;012.108;
-000.022;012.108;
-000.021;012.106;
-000.021;012.106;
-000.021;012.106;
-000.021;012.106;
-000.022;012.106;
-000.023;012.108;
-000.024;012.110;
-000.024;012.110;
-000.024;012.112;
-000.024;012.112;
-000.023;012.112;
-000.023;012.110;
-000.022;012.110;
-000.021;012.110;
-000.021;012.108;
-000.020;012.108;
-000.019;012.106;
-000.019;012.106;
-000.018;012.106;
-000.018;012.104;
-000.019;012.106;
-000.020;012.106;
-000.020;012.108;
-000.021;012.108;
-000.020;012.110;
-000.020;012.108;
-000.019;012.108;
-000.018;012.108;
-000.017;012.106;
-000.016;012.106;
