-000.006;
-000.005;000.001;
-000.004;000.001;
-000.003;000.001;
-000.002;000.001;
-000.001;000.001;
-000.000;000.001;
000.000;000.001;
000.001;000.001;
000.002;000.001;
000.003;000.001;
000.004;000.001;
000.004;000.001;
000.005;000.001;
000.006;000.001;
000.007;000.001;
000.008;000.001;
000.009;000.001;
000.009;000.001;
000.010;000.001;
000.011;000.001;
000.011;000.001;
000.012;000.001;
000.013;000.001;
000.013;000.001;
000.014;000.001;
000.014;000.001;
000.015;000.001;
000.015;000.001;
000.016;000.001;
000.016;000.001;
000.017;000.001;
000.017;000.001;
000.018;000.001;
000.018;000.001;
000.019;000.001;
000.019;000.001;
000.020;000.001;
000.020;000.001;
000.020;000.001;
000.021;000.001;
000.021;000.001;
000.022;000.001;
000.022;000.001;
000.022;000.001;
000.023;000.001;
000.023;000.001;
000.023;000.001;
000.024;000.001;
000.024;000.001;
000.024;000.001;
000.025;000.001;
000.025;000.001;
000.025;000.001;
000.025;000.001;
000.025;000.001;
000.026;000.001;
000.026;000.001;
000.026;000.001;
000.027;000.001;
000.027;000.001;
000.027;000.001;
000.027;000.001;
000.027;000.001;
000.027;000.001;
000.027;000.001;
000.028;000.001;
000.028;000.001;
000.028;000.001;
000.028;000.001;
000.028;000.001;
000.029;000.001;
000.029;000.001;
000.029;000.001;
000.029;000.001;
000.029;000.001;
000.029;000.001;
000.029;000.001;
000.029;000.001;
000.029;000.001;
000.030;000.001;
000.029;000.001;
000.030;000.001;
000.030;000.001;
000.030;000.001;
000.030;000.001;
000.030;000.001;
000.030;000.001;
000.030;000.001;
000.030;000.001;
000.030;000.001;
000.030;000.001;
000.030;000.001;
000.030;000.001;
000.030;000.001;
000.030;000.001;
000.030;000.001;
000.031;000.001;
000.030;000.001;
000.031;000.001;
000.031;000.001;
000.030;000.001;
000.031;000.001;
000.031;000.001;
000.030;000.001;
000.031;000.001;
000.031;000.001;
000.031;000.001;
000.031;000.001;
000.030;000.001;
000.031;000.001;
000.031;000.001;
000.030;000.001;
000.030;000.001;
000.030;000.001;
000.030;000.001;
000.030;000.001;
000.030;000.001;
000.030;000.001;
000.030;000.001;
000.030;000.001;
000.030;000.001;
000.030;000.001;
000.030;000.001;
000.030;000.001;
000.030;000.001;
000.030;000.001;
000.030;000.001;
000.030;000.001;
000.030;000.001;
000.030;000.001;
000.030;000.001;
000.030;000.001;
000.030;000.001;
000.030;000.001;
