000.004;
000.004;011.360;
000.004;011.354;
000.004;011.354;
000.005;011.354;
000.006;011.352;
000.007;011.352;
000.008;011.350;
000.008;011.348;
000.008;011.348;
000.008;011.348;
000.008;011.348;
000.008;011.348;
000.008;011.348;
000.009;011.348;
000.009;011.346;
000.009;011.346;
000.010;011.346;
000.010;011.344;
000.010;011.344;
000.011;011.344;
000.011;011.344;
000.011;011.342;
000.011;011.342;
000.011;011.342;
000.011;011.342;
000.011;011.342;
000.011;011.342;
000.011;011.342;
000.012;011.342;
000.013;011.340;
000.013;011.340;
000.013;011.340;
000.013;011.340;
000.013;011.340;
000.013;011.340;
000.012;011.340;
000.013;011.340;
000.013;011.338;
000.013;011.338;
000.013;011.338;
000.013;011.338;
000.013;011.338;
000.013;011.338;
000.013;011.338;
000.013;011.338;
000.012;011.338;
000.012;011.338;
000.012;011.338;
000.012;011.338;
000.011;011.340;
000.011;011.340;
000.011;011.340;
000.012;011.338;
000.012;011.338;
000.012;011.338;
000.011;011.338;
000.011;011.338;
000.011;011.338;
000.010;011.340;
000.010;011.340;
000.011;011.340;
000.011;011.338;
000.011;011.338;
000.011;011.338;
000.011;011.338;
000.011;011.338;
000.010;011.338;
000.010;011.338;
000.010;011.340;
000.010;011.340;
000.010;011.340;
000.009;011.340;
000.008;011.340;
000.008;011.342;
000.008;011.342;
000.008;011.342;
000.008;011.342;
000.008;011.342;
000.007;011.342;
000.007;011.342;
000.006;011.344;
000.005;011.344;
000.005;011.346;
000.005;011.346;
000.005;011.346;
000.005;011.344;
000.005;011.344;
000.005;011.346;
000.005;011.346;
000.004;011.346;
000.004;011.346;
000.004;011.346;
000.004;011.348;
000.003;011.348;
000.003;011.348;
000.003;011.348;
000.002;011.348;
000.002;011.348;
000.002;011.350;
000.002;011.350;
000.002;011.350;
000.002;011.350;
000.002;011.350;
000.001;011.350;
000.000;011.350;
-000.000;011.352;
-000.000;011.354;
-000.000;011.354;
-000.000;011.354;
-000.000;011.354;
-000.000;011.354;
-000.000;011.354;
-000.000;011.354;
-000.000;011.354;
-000.000;011.354;
-000.000;011.354;
-000.000;011.354;
-000.000;011.354;
-000.000;011.354;
-000.000;011.354;
-000.000;011.354;
-000.000;011.354;
-000.000;011.354;
-000.000;011.354;
-000.000;011.354;
000.000;011.354;
000.000;011.352;
-000.000;011.352;
-000.000;011.354;
-000.000;011.354;
-000.001;011.354;
-000.000;011.354;
-000.000;011.354;
000.000;011.354;
000.000;011.352;
000.001;011.352;
000.001;011.352;
000.001;011.352;
000.001;011.350;
000.001;011.350;
000.001;011.350;
000.001;011.350;
000.001;011.350;
000.001;011.352;
000.001;011.352;
000.001;011.350;
000.002;011.350;
000.002;011.350;
000.002;011.350;
000.003;011.348;
000.003;011.348;
000.003;011.348;
000.003;011.348;
000.003;011.348;
000.003;011.348;
000.003;011.348;
000.004;011.346;
000.005;011.346;
000.005;011.344;
000.006;011.344;
000.006;011.344;
000.006;011.342;
000.007;011.342;
000.007;011.342;
000.007;011.342;
000.007;011.342;
000.007;011.340;
000.008;011.340;
000.008;011.340;
000.008;011.340;
000.008;011.340;
000.009;011.340;
000.009;011.338;
000.009;011.338;
000.010;011.338;
000.010;011.336;
000.010;011.336;
000.010;011.336;
000.010;011.336;
000.010;011.336;
000.010;011.336;
000.011;011.336;
000.011;011.334;
000.012;011.334;
000.012;011.332;
000.012;011.332;
000.012;011.332;
000.012;011.332;
000.012;011.332;
000.013;011.332;
000.013;011.330;
000.014;011.330;
000.014;011.330;
000.014;011.328;
000.014;011.328;
